@relation whatever
@attribute F0 real
@attribute F08 real
@attribute F16 real
@attribute F24 real
@attribute F32 real
@attribute F4 real
@attribute F48 real
@attribute F56 real
@attribute F64 real
@attribute F72 real
@attribute F8 real
@attribute F88 real
@attribute F96 real
@attribute F104 real
@attribute F112 real
@attribute F12 real
@attribute F128 real
@attribute electrode real
@attribute test_type real
@data
nan,6.9906283755178737,6.9896295658572214,6.9589689682298683,6.9909623218016064,6.9879132240578343,6.9611098054850613,6.9904007849454697,6.9971806729034798,6.9854461696324837,6.9664102143734707,6.9886562716116876,6.9925727688314465,6.986934890335915,6.8828384127443778,6.7679237775407461,6.9731932660636966,6.9501502769968653,1.0
nan,-0.17281552928216506,-0.16142831315721717,-0.17180502563392308,-0.18553182575329052,-0.16569380941466894,-0.23835714695713914,-0.20590225532583215,-0.12323991307444511,-0.13210204483726734,-0.13085226299517441,-0.070171949304114897,-0.045834078669281478,0.0099496509047010389,-0.29914450757766253,-0.38300872691333943,-0.018411092919040757,-0.26320231963821883,1.0
nan,-0.16913143193802938,-0.17547963099806527,-0.24380116538942265,-0.16375993573541239,-0.13638654391637131,-0.060628881502350108,-0.18801541798091242,-0.17803161897153474,-0.16046517406781591,-0.18041266222583022,-0.20761339594770262,-0.12673692147602317,-0.13344140685715311,-0.13510629520446135,-0.10545757946310955,-0.27572290429082358,-0.20243987973783223,1.0
nan,-0.15671963389386878,-0.15880975609688958,-0.25604254208702076,-0.17330674524934525,-0.16986371673092823,-0.26080596498610015,-0.16829388470495946,-0.19892546674601794,-0.19890876088308765,-0.24725014008326024,-0.15220615217440273,-0.15102308002212064,-0.20866738056061163,-0.15477897301954921,-0.35202693695525278,-0.19098409032102853,-0.12052872673133858,1.0
nan,-0.17576992995478996,-0.18091499659246685,-0.22246716672178726,-0.19500407610304574,-0.14130310039735997,-0.069065279912156982,-0.17332601250443508,-0.17154408097436208,-0.10173600850165322,-0.28284372715663791,-0.19910541165104645,-0.21844261293258338,-0.18859705746544372,-0.16855482880773776,-0.26881248071382258,-0.21244423550464545,-0.090434116137904724,1.0
nan,-0.15472577962473741,-0.13789977783575039,-0.21847436470361253,-0.15358418866916279,-0.16946396023594418,-0.26679338976592831,-0.086397383090174529,-0.17869548796863269,-0.24251657775777757,-0.055192165220274592,-0.18857470091934062,-0.055039398008635436,-0.09208094624725302,0.17470999136766693,0.66662555069785012,-0.21716714963624831,-0.10424085429264444,1.0
nan,-0.16113754062160601,-0.17105863666007162,-0.17477210111193475,-0.15783161200998208,-0.20277919020996252,-0.18992615702908164,-0.15239334971226945,-0.1312796447681866,-0.15820592020583132,-0.067156730548906252,-0.19578583067841748,-0.17094610094910634,-0.18072534532390516,-0.30181604942620321,-0.43849914119129962,-0.19553310000425028,-0.14196282315649167,1.0
nan,-0.033544055451144909,-0.073108083504173749,-0.023409724992727036,-0.13724182087550862,-0.046675339936528476,0.0076255222917330371,-0.136730784390444,-0.064084383288262298,-0.097651289900787641,-0.20990257724327896,-0.12153485761064005,-0.14883600452643173,-0.12107328910522715,-0.1090171033184468,-0.16583174101528403,-0.1086948293707598,-0.1475599436954903,1.0
nan,-0.15680140237334408,-0.13334048767416548,-0.043891730770488371,-0.16141250728417061,-0.14448816624882546,-0.22936153437200602,-0.15536591420089088,-0.15449190313107536,-0.1335543181281052,-0.2114540885402427,-0.15108199058786193,-0.10302052802728943,-0.13453494764420829,0.17693700586372932,0.92511147672246652,-0.14107285675545364,-0.15826974864752508,1.0
nan,-0.12387878293283966,-0.13526562568370842,-0.15597973608944959,-0.14101320889880553,-0.19758605421491521,-0.17796762643662725,-0.14734154054819759,-0.1342475629902683,-0.06397440332408412,0.073132857041749919,-0.052588172627325354,-0.15650459539292011,-0.15727574936598762,0.097292571599484179,0.040868645304371058,-0.045060674923693936,-0.23794696772658852,1.0
